title;link;published
땅에 떨어진 교권… 고연차·저연차 할 것 없이 학교 떠난다 - 충청투데이;https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNjdG9kYXkuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTIxODE4MDjSAQA?oc=5;2023-07-24 10:57:52
학생에 맞고 욕 듣고 법정行… 무너진 교권, 대책 나온다 - news.kmib.co.kr;https://news.google.com/rss/articles/CBMiTmh0dHA6Ly9uZXdzLmttaWIuY28ua3IvYXJ0aWNsZS92aWV3LmFzcD9hcmNpZD0wMDE4NDk2NTEzJmNvZGU9NjExMjExMTEmc2lkMT1vcNIBMmh0dHBzOi8vbS5rbWliLmNvLmtyL3ZpZXdfYW1wLmFzcD9hcmNpZD0wMDE4NDk2NTEz?oc=5;2023-07-24 09:37:00
"전북교육청 ""교권침해 막고 교육활동보호 앞장"" - 전북일보";https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmpqYW4ua3IvYXJ0aWNsZS8yMDIzMDcyNDU4MDMxM9IBLWh0dHBzOi8vd3d3LmpqYW4ua3IvYXJ0aWNsZUFtcC8yMDIzMDcyNDU4MDMxMw?oc=5;2023-07-24 09:30:53
교권 침해, 오송 참사, 관저 풍수…진짜 해체해야 할 카르텔 [시종땡] - 한겨레;https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9wb2xpdGljcy9wb2xpdGljc19nZW5lcmFsLzExMDE0ODguaHRtbNIBAA?oc=5;2023-07-24 07:50:19
학생인권과 교권은 같이 가야한다 - 오마이뉴스;https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm9obXluZXdzLmNvbS9OV1NfV2ViL1ZpZXcvYXRfcGcuYXNweD9DTlROX0NEPUEwMDAyOTQ3Mjgz0gFCaHR0cHM6Ly9tLm9obXluZXdzLmNvbS9OV1NfV2ViL01vYmlsZS9hbXAuYXNweD9DTlROX0NEPUEwMDAyOTQ3Mjgz?oc=5;2023-07-24 07:25:00
울산서도 ‘학부모 교권침해’ 지속 발생에 특단대책 요구 - 울산매일;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lml1c20uY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTEwMjAwNzPSAT1odHRwczovL3d3dy5pdXNtLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0xMDIwMDcz?oc=5;2023-07-24 07:17:00
여야, 수해 복구 현장으로…'교권 보호법' 마련 속도 - 연합뉴스TV;https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LnlvbmhhcG5ld3N0di5jby5rci9uZXdzL01ZSDIwMjMwNzI0MDExNTAwNjQx0gEA?oc=5;2023-07-24 05:15:52
학교폭력 원스톱 처리 및 교권 강화 대책 마련 - 대한경제;https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vbS5kbmV3cy5jby5rci9tX2hvbWUvdmlldy5qc3A_aWR4bm89MjAyMzA3MjQxMzMxMjc1ODUwNDkx0gEA?oc=5;2023-07-24 04:45:03
교육부 “교권침해 학생부 기재, 아동학대 면책권 논의 중” - 경향신문;https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbS5raGFuLmNvLmtyL2FydGljbGUvMjAyMzA3MjQxMjE4MDAx0gFDaHR0cHM6Ly9tLmtoYW4uY28ua3IvbmF0aW9uYWwvZWR1Y2F0aW9uL2FydGljbGUvMjAyMzA3MjQxMjE4MDAxL2FtcA?oc=5;2023-07-24 03:18:00
교권 침해, 어떻게 해결해야 할까? - 뉴닉;https://news.google.com/rss/articles/CBMiH2h0dHBzOi8vbmV3bmVlay5jby9wb3N0LzRPcGN5YS_SAQA?oc=5;2023-07-24 02:37:05
尹 “교권 강화 위한 교육부 고시 마련하고 자치조례 개정하라” - news.kmib.co.kr;https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vbmV3cy5rbWliLmNvLmtyL2FydGljbGUvdmlldy5hc3A_YXJjaWQ9MDAxODQ5NDU3MSZjb2RlPTYxMTExMjExJnNpZDE9cG9s0gEyaHR0cHM6Ly9tLmttaWIuY28ua3Ivdmlld19hbXAuYXNwP2FyY2lkPTAwMTg0OTQ1NzE?oc=5;2023-07-24 02:22:00
"[속보]尹대통령 ""교권 침해 '불합리 조례' 개정하라"" 지시 - 머니투데이";https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjMwNzI0MTA1NDAwNTk1OTHSAT1odHRwczovL20ubXQuY28ua3IvcmVuZXcvdmlld19hbXAuaHRtbD9ubz0yMDIzMDcyNDEwNTQwMDU5NTkx?oc=5;2023-07-24 01:56:08
"[속보] 尹대통령 ""교권침해 불합리한 조례 개정 추진"" - 연합뉴스";https://news.google.com/rss/articles/CBMiLWh0dHBzOi8vbS55bmEuY28ua3Ivdmlldy9BS1IyMDIzMDcyNDA2MTMwMDAwMdIBMWh0dHBzOi8vbS55bmEuY28ua3IvYW1wL3ZpZXcvQUtSMjAyMzA3MjQwNjEzMDAwMDE?oc=5;2023-07-24 01:53:42
“교권 추락, 중장기적으로 학생·학부모에 불이익” - 대구신문;https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmlkYWVndS5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDI4MDk30gEA?oc=5;2023-07-23 12:30:32
“더는 못참아”…교사들 교권보호 한 목소리 - 경상매일신문;https://news.google.com/rss/articles/CBMiP2h0dHA6Ly93d3cua3NtbmV3cy5jby5rci9kZWZhdWx0L2luZGV4X3ZpZXdfcGFnZS5waHA_aWR4PTQzNjY4OdIBAA?oc=5;2023-07-23 12:04:06
학생인권조례 폐지 시동…현장선 “교권이랑 무슨 상관인가” - 경향신문;https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vbS5raGFuLmNvLmtyL25hdGlvbmFsL25hdGlvbmFsLWdlbmVyYWwvYXJ0aWNsZS8yMDIzMDcyMzE4MzUwMDHSAUpodHRwczovL20ua2hhbi5jby5rci9uYXRpb25hbC9uYXRpb25hbC1nZW5lcmFsL2FydGljbGUvMjAyMzA3MjMxODM1MDAxL2FtcA?oc=5;2023-07-23 09:35:00
호우 피해·교권 침해...국민들은 죽어가는데 정치권은 '네 탓 공방' - 한국일보;https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vbS5oYW5rb29raWxiby5jb20vTmV3cy9SZWFkL0EyMDIzMDcyMzE0MjIwMDAxODE30gEA?oc=5;2023-07-23 09:00:54
당정, 26일 '교권보호' 대책 논의…교원 지위 회복안 마련도 - 한국경제;https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9wb2xpdGljcy9hcnRpY2xlLzIwMjMwNzIzNTc5NVnSATNodHRwczovL3d3dy5oYW5reXVuZy5jb20vcG9saXRpY3MvYW1wLzIwMjMwNzIzNTc5NVk?oc=5;2023-07-23 07:31:15
교권 침해, 교사 혼자 끙끙? 해외는 이렇게 대응한다 - 경향신문;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vbS5raGFuLmNvLmtyL25hdGlvbmFsL2VkdWNhdGlvbi9hcnRpY2xlLzIwMjMwNzIzMTU0ODAwMdIBQ2h0dHBzOi8vbS5raGFuLmNvLmtyL25hdGlvbmFsL2VkdWNhdGlvbi9hcnRpY2xlLzIwMjMwNzIzMTU0ODAwMS9hbXA?oc=5;2023-07-23 06:48:00
'교권침해 적극 대응'…광주시·경북도 교육청 교권보호 나서 - news.kmib.co.kr;https://news.google.com/rss/articles/CBMiT2h0dHA6Ly9uZXdzLmttaWIuY28ua3IvYXJ0aWNsZS92aWV3LmFzcD9hcmNpZD0wMDE4NDkyMTYwJmNvZGU9NjExMjExMTEmc2lkMT1rYW7SAQA?oc=5;2023-07-23 04:33:00
"""교권침해로 교실붕괴""…'학생인권조례'로 번진 논란 - 연합뉴스TV";https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LnlvbmhhcG5ld3N0di5jby5rci9uZXdzL01ZSDIwMjMwNzIzMDAwMTAwNjQx0gEA?oc=5;2023-07-22 23:51:27
"대구 학부모들 ""학교교육 믿고 지지, 선생님 의견 존중"" 선언...교권 회복 ... - 교육플러스";https://news.google.com/rss/articles/CBMiNmh0dHA6Ly93d3cuZWRwbC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89OTg2M9IBAA?oc=5;2023-07-21 07:00:00
"김대중 전남교육감 ""교권보호 위해 강력한 제도적 방안 마련해야"" - KBC광주방송";https://news.google.com/rss/articles/CBMiMmh0dHA6Ly93d3cuaWtiYy5jby5rci9hcnRpY2xlL3ZpZXcva2JjMjAyMzA3MjEwMDM50gEA?oc=5;2023-07-21 06:07:07
"국민의힘 ""교권 무너지면 학생인권도 없어‥법·제도 미비점 보완"" - MBC뉴스";https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMy9wb2xpdGljcy9hcnRpY2xlLzY1MDYxMDhfMzYxMTkuaHRtbNIBRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMy9wb2xpdGljcy9hcnRpY2xlLzY1MDYxMDhfMzYxMjAuaHRtbA?oc=5;2023-07-21 05:11:51
"이재명, 말로는 ""교권 보호""… 민주당, 행동은 '교권 강화법' 반대 - 뉴데일리";https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3Lm5ld2RhaWx5LmNvLmtyL3NpdGUvZGF0YS9odG1sLzIwMjMvMDcvMjEvMjAyMzA3MjEwMDE0NS5odG1s0gEA?oc=5;2023-07-21 04:47:52
심야괴담회가 교권에 미치는 영향 - 브런치;https://news.google.com/rss/articles/CBMiH2h0dHBzOi8vYnJ1bmNoLmNvLmtyL0BAYk96Mi8yNTbSAQA?oc=5;2023-07-18 07:47:34
교권침해에 멍드는 교심…소송 지원액 역대 최대 - 서울경제 - 서울경제신문;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vd3d3LnNlZGFpbHkuY29tL05ld3NWaWV3LzI5UzNRMThSNVTSASxodHRwczovL20uc2VkYWlseS5jb20vTmV3c1ZpZXdBbXAvMjlTM1ExOFI1VA?oc=5;2023-07-12 07:00:00
[사설]교권 회복 위한 실질적 조례 제정 시급 - 경남일보;https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmdubmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTMxNjQ40gEA?oc=5;2023-07-11 07:57:00
땅에 떨어진 교권…초6 남학생이 담임교사에 '뜨밤 보내세요, 남자 잘 ... - 매일신문;https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vbmV3cy5pbWFlaWwuY29tL3BhZ2Uvdmlldy8yMDIzMDcxMTA3MzU0MDI0MjQ20gEA?oc=5;2023-07-11 07:00:00
전북교육청, 교원안심서비스 시범학교 운영 '교권보호' - 쿠키뉴스;https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lmt1a2luZXdzLmNvbS9uZXdzVmlldy9rdWsyMDIzMDcwMzAxODbSAQA?oc=5;2023-07-03 07:00:00
교권침해 받아도 교육청은 뒷짐만[민원폭탄에 신음하는 대한민국] - 문화일보;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3Lm11bmh3YS5jb20vbmV3cy92aWV3Lmh0bWw_bm89MjAyMzA2MjgwMTA3MDYyMTAyMDAwMtIBAA?oc=5;2023-06-28 07:00:00
