Title;Link;Published;redirect;redirectLink;articleImage;articleBody
'어쩌다 마주친, 그대' 서지혜, 로맨스・스릴러 다 소화한 연기력…몰입도↑ - 한국아이닷컴;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODI5MjDSAT1odHRwczovL3d3dy5oYW5rb29raS5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTgyOTIw?oc=5;2023-06-07 07:00:00;;;;
이찬원 '인생 드라마 '응팔', 군대 가기 전 여자친구와 과몰입하며 봐'('옥문아') - 한국아이닷컴;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODE1MzLSAT1odHRwczovL3d3dy5oYW5rb29raS5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTgxNTMy?oc=5;2023-05-31 07:00:00;;;;
한동대 글로벌 기업가정신 캠프 개최..AI로 비즈니스 모델링 실습해 - 베리타스알파;https://news.google.com/rss/articles/CBMiO2h0dHA6Ly93d3cudmVyaXRhcy1hLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDU5MDAx0gE-aHR0cDovL3d3dy52ZXJpdGFzLWEuY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz00NTkwMDE?oc=5;2023-05-30 07:00:00;;;;
드림캐쳐(DREAMCATCHER) 유현, '엄지척 미모' [★포토] - 스타뉴스 - 스타뉴스;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LnN0YXJuZXdza29yZWEuY29tL3N0dmlldy5waHA_bm89MjAyMzA1MjgwOTQ4NDAzMzg2MdIBQGh0dHBzOi8vbS5zdGFybmV3c2tvcmVhLmNvbS92aWV3X2FtcC5odG1sP25vPTIwMjMwNTI4MDk0ODQwMzM4NjE?oc=5;2023-05-28 07:00:00;;;;
드림캐쳐(DREAMCATCHER) 시연, '인사드려요~' [포토] - MSN;https://news.google.com/rss/articles/CBMivAFodHRwczovL3d3dy5tc24uY29tL2tvLWtyL2VudGVydGFpbm1lbnQvdHYvJUVCJTkzJTlDJUVCJUE2JUJDJUVDJUJBJTkwJUVDJUIzJTkwLWRyZWFtY2F0Y2hlci0lRUMlOEIlOUMlRUMlOTclQjAtJUVDJTlEJUI4JUVDJTgyJUFDJUVCJTkzJTlDJUVCJUEwJUE0JUVDJTlBJTk0LSVFRCU4RiVBQyVFRCU4NiVBMC9hci1BQTFiTUdDddIBAA?oc=5;2023-05-28 02:14:42;;;;
'꽈추형' 홍성우, 학생들에 특별한 성교육…몰입도 200% - 한국아이닷컴;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODA3OTLSAT1odHRwczovL3d3dy5oYW5rb29raS5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTgwNzky?oc=5;2023-05-27 07:00:00;;;;
[시사줌뉴스] `가슴이 뛴다` 박강현, 세련미 가득 갖춘 첫 스틸 공개 ... - 시사줌뉴스;https://news.google.com/rss/articles/CBMiH2h0dHA6Ly93d3cuc2lzYXpvb20uY28ua3IvMzQ3NTDSAQA?oc=5;2023-05-25 07:00:00;;;;
스페이스몽키디자인, 인천공항 ‘비비드 스페이스’ 몰입형 실감콘텐츠 공개 - 데일리안;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vd3d3LmRhaWxpYW4uY28ua3IvbmV3cy92aWV3LzEyMzcwODjSAS1odHRwczovL20uZGFpbGlhbi5jby5rci9hbXAvbmV3cy92aWV3LzEyMzcwODg?oc=5;2023-05-24 04:04:00;;;;
경기게임문화센터, 게임 과몰입 해결 위한 업무협약 체결 - 인벤;https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmludmVuLmNvLmtyL3dlYnppbmUvbmV3cy8_bmV3cz0yODQ5NTDSAQA?oc=5;2023-05-22 07:21:49;;;;
공무원연금공단, '23년 공무원 마음건강 캠프 개최 - 시니어매일;https://news.google.com/rss/articles/CBMiPGh0dHA6Ly93d3cuc2VuaW9ybWFlaWwuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz00MjYxONIBAA?oc=5;2023-05-21 07:00:00;;;;
